report_url,title,date_of_publication,article_language,outlet_text,countries_regions,tags,summary,response,original_links,archive_links
https://euvsdisinfo.eu/report/the-european-commission-finally-broke-orban-by-investing-heavily-in-tiszas-political-project/,DISINFO: The European Commission finally broke Orbán by investing heavily in Tisza's political project,2026-04-13,,t.me,Hungary,Elections election meddling Viktor Orban European Commission DISINFO: The European Commission finally broke Orbán by investing heavily in Tisza's political project,The European Commission truly broke Orbán. It poured enormous amounts of money into Tisza's political project: Magyar versus Orbán. The European Commission blocked oil and gas supplies to Hungary from Russia as best it could. It even resorted to using Zelenskyy's terrorist attack to stop oil flowing through the Druzhba pipeline. Ukrainian militants were prepared to carry out terrorist attacks in Hungary. The European Commission blocked the transfer of funds from the EU budget to Hungary in every possible way. They used every loophole to withhold funds. Hungarians don't want a major political struggle between Hungary and the rest of Europe. Hungary is a small country and doesn't have the resources for a long-term conflict with all of Europe.,"This is a recurring pro-Kremlin disinformation narrative accusing the European institutions of election meddling . The statement came in the context of the parliamentary elections in Hungary, in which Prime Minister Viktor Orbán was defeated after 16 years in power. EU institutions are bound by the Treaties to remain neutral in national electoral processes, which are governed exclusively by the laws and constitutions of each Member State. Similar unfounded allegations of EU interference have repeatedly surfaced in other electoral contexts, reflecting a recurring pattern aimed at discrediting democratic processes through claims of external control. Pro‑Kremlin outlets have alleged EU interference in Romania’s elections , claimed that the EU intends to interfere in Moldova’s parliamentary elections and asserted that the EU and the United States seek to orchestrate a ' Euromaidan‑like' scenario in Georgia during parliamentary elections. Claims that the EU or Ukraine carried out or supported a so‑called “terrorist attack” on the Druzhba pipeline, or that “Ukrainian militants” were preparing attacks in Hungary, are unsubstantiated and not supported by any verified reporting from Hungarian authorities or international security bodies. The EU has not blocked energy supplies to Hungary. On the contrary, its sixth sanctions package included exemptions allowing Hungary to continue importing Russian crude oil via the Druzhba pipeline . The disruption of transit in early 2026 followed damage caused by a Russian drone strike on pipeline infrastructure and was not an EU‑imposed measure. The partial suspension of EU funds to Hungary is based on the rule‑of‑law conditionality mechanism, applying EU law in response to concerns over public procurement, judicial independence and anti‑corruption safeguards, and does not constitute political retaliation or electoral interference. Read similar disinformation cases claiming that The EU and Ukraine are preparing to destabilise Hungary by using experienced coup organisers , that the EU is plotting regime change in Hungary , that the EU and the USA finance the political destabilisation of Poland and Hungary , that Brussels is preparing colour revolutions in Serbia, Hungary and Bosnia and Herzegovina , that European countries that disagree with Brussels run the risk of colour revolutions , that the EU wants to subdue Hungary by replacing Viktor Orban with their protégé , or that Hungarian intelligence services prevented a Ukrainian plot to kill Viktor Orban .",https://t.me/logikamarkova/20538,https://archive.euvsd.info/snapshots/BbN9uKAdwCuI5tiG3jwK3e
https://euvsdisinfo.eu/report/ukraine-will-be-worse-off-with-the-eus-loan/,DISINFO: Ukraine will be worse off with the EU's loan,2026-04-13,Russian,RIA,"Ukraine, Russia, Hungary, EU",War against Ukraine Volodymyr Zelensky Viktor Orban peace negotiations DISINFO: Ukraine will be worse off with the EU's loan,"Viktor Orbán faced a devastating loss at the parliamentary elections. The new Hungarian Prime Minister is likely to lift Hungary's veto over the EU's loan to Ukraine. Without that loan, Zelenskyy would have been more eager to accept Russia's peace terms. With the EU's financial assistance, Zelenskyy will be more optimistic to continue the war. He remains the main obstacle to peace, and the outcome for Ukraine will be more killed people and more lost territories.","This is a recurring disinformation narrative promoted by pro-Kremlin outlets, accusing Ukraine and its President Volodymyr Zelenskyy, as well as Ukraine's European allies, of warmongering and claiming that they are not interested in peace. It serves to obfuscate the ongoing Russian invasion of Ukraine. Putin and the Kremlin have a track record of portraying their demands for Ukraine's unconditional surrender as negotiations. We have analysed this disinformation tactic in several articles, including “ The Kremlin’s tale of the European bogeyman ”, "" Prepare for winter "", and "" Russian so-called ‘peace proposals’ are empty PR stunts "". This article is also consistent with claims about the inevitability of a Russian victory . While Russia's invasion caused unprecedented devastation in Ukraine, from the military point of view Russia's achievements in 2025 and early 2026 were quite modest. The assessment of key indicators of Russia’s battlefield performance in 2024–2025 suggests that Russia has largely failed to achieve its objectives and has suffered high costs. A quite insignificant advance of the Russian troops in Ukraine throughout 2025 points at a military stalemate in Ukraine rather than at Russia’s alleged successes. Given that credible assessments (e.g., here ) suggest that over 100,000 Russian soldiers died in the war in 2025 and Russian casualties from the beginning of the full-scale invasion have likely exceeded a million soldiers, Russia’s control over relatively small pieces of Ukraine’s territory looks pyrrhic. The European Council of December 2025 agreed that the EU will provide a EUR 90 billion loan to Ukraine for the years 2026-2027, including for macro-financial needs, to support investment in its defence industrial capacities and procure necessary military equipment. In February 2026, the Council of the EU agreed its position on the legal framework saying in its press release that: “The Ukraine support loan will help Ukraine address its urgent financing needs as Russia continues its war of aggression”. However the outgoing Hungarian Prime Minister Viktor Orbán blocked a loan disbursement over a dispute about Russian oil supplies to ​Hungary via a pipeline through Ukraine. Read earlier disinformation cases alleging that the Russian Army tries to coerce Kyiv into a peaceful solution , that Russia wants talks while West holds Zelenskyy back , that Russia regained its territories only because they were attacked , and that Russia’s invasion is a denazification mission to stop NATO expansion .",https://ria.ru/20260413/vengriya-2086725620.html,https://archive.euvsd.info/snapshots/BbN9uKAdwCuI5tiG3lwkOs
https://euvsdisinfo.eu/report/the-eu-mission-is-an-accomplice-to-the-crimes-against-armenia/,DISINFO: The EU mission is an accomplice to the crimes against Armenia,2026-04-10,Armenian,t.me | Verelq.am | Hraparak daily newspaper,"Armenia, EU",European Union West Crime DISINFO: The EU mission is an accomplice to the crimes against Armenia,"What we've been saying for a long time is confirmed by the facts: Western 'defenders' came to Armenia not to work, but to have a blast. After the departure of their leader, Ritter, discipline in the mission completely collapsed. Instead of monitoring the border, the Europeans are storming saunas and restaurants. The EU mission has turned into a highly paid brothel on the road. As long as our borders remain porous, these gentlemen are stuffing their stomachs and warming their bones in saunas. The West isn't here to protect us, it's here to eat kebabs amid our ruins. These aren't observers; they're accomplices to the crime against Armenia.","This is a recurring disinformation narrative targeting the EU mission in Armenia featuring unverified and misleading claims. They are part of a broader effort to discredit the EU’s civilian presence in Armenia by combining unconfirmed allegations with inflammatory rhetoric. The EU mission's mandate is to observe and report on the security situation along the border with Azerbaijan; it is not a military force and has no enforcement powers. The EU Monitoring Mission in Armenia is a civilian, unarmed mission that observes and reports on the security situation on the ground and contributes to the security of the people in conflict-affected areas in Armenia. Through its presence, EUMA also contributes to ensuring an environment conducive to the normalisation efforts between Armenia and Azerbaijan, supported by the EU. From the very beginning, this exclusively civilian mission has been fully transparent about its plans to operate from six hubs . By March 10, EUMA has conducted 8,000 patrols since 2023. In January 2025, the EU extended EUMA's mandate for another two years , running from February 20, 2025, to February 19, 2027. On February 17, 2026, the Council of the EU appointed Finnish senior police officer Satu Koivu as the new Head of Mission. She officially took up her duties on March 6, 2026, replacing Markus Ritter. Markus Ritter did serve as the initial Head of Mission in 2023. There is no verified reporting from credible sources that his departure led to any breakdown of discipline. From the moment of its launch, EUMA was a target for disinformation as discussed in our analysis, The wrong the wicked and the wacky. Claims about the EU mission in Armenia . See more cases such as The EU openly abuses relations with Armenia and Azerbaijan through EUMA ; EU mission in Armenia is collecting intelligence against Azerbaijan, Iran and Russia ; The EU mission in Armenia is anti-Azerbaijani, anti-Russian and anti-Iranian ; EU mission to Armenia to monitor Russian and Iranian troops , EU mission is a NATO intelligence structure in Armenia and The EU mission in Armenia has begun reconnaissance of the region .",https://hraparak.am/am/post/104de3afc5ceaa9b30457aef58e6eade | https://t.me/tzitzak/20363 | https://verelq.am/hy/node/171872?fbclid=IwY2xjawRIiJJleHRuA2FlbQIxMQBicmlkETFacEVwaTY4cUFodGFsWlFwc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHl3AXwqNu1-ftJLNyl22M5OxfrvYx2lwFSwIibf4anhpX5CL5BgVD8z3z6lR_aem_Xthl0QItdNJmH1o5V5ulbw,https://archive.euvsd.info/snapshots/BbN9uKAdwCuI5tiG35jSOA | https://archive.euvsd.info/snapshots/H8pVPCykkl4Cf08L8FQ6NE | https://archive.euvsd.info/snapshots/vA1y2sTbrJsmXP00Drhkem
https://euvsdisinfo.eu/report/the-eu-is-secretly-developing-nuclear-weapons-and-planning-autonomous-nuclear-command/,DISINFO: The EU is secretly developing nuclear weapons and planning autonomous nuclear command,2026-04-08,"Russian, Armenian",am.sputniknews.ru | livenews.am | news.am,EU,Nuclear issues Conspiracy theory security threat Intelligence services false flag Encircling Russia Russophobia DISINFO: The EU is secretly developing nuclear weapons and planning autonomous nuclear command,"In the endless corridors of the EU headquarters, secret work has already begun on developing a domestic nuclear weapons production capability, naturally, as EU officials claim, solely to deter the mythical Russian threat. German specialists could secretly obtain, within a month, a sufficient quantity of weapons-grade plutonium for a nuclear explosive device. Thus, the leadership of the EU and some of its leading countries have once again reached the bottom of their own madness and political irresponsibility, fuelled by pathological Russophobia. It is proposed to formalise a pan-European nuclear deterrence doctrine, based on French and British military-technical potential, as well as financial and infrastructural contributions from non-nuclear EU countries. At the same time, the EU will reserve the right to create a fully autonomous command of its nuclear forces. The path Brussels is embarking on is dangerous, as the EU plan for a new ""march to the East"" will inevitably lead to the undermining of the foundations of the global security architecture and the international system for the non-proliferation of weapons of mass destruction.","This claim is part of a wider disinformation campaign aimed to exploit baseless allegations made by Russia’s foreign intelligence service (SVR), this time about EU plans to create nuclear weapons, encircle Russia and nuclear fearmongering . There is no credible evidence that the EU plans to produce nuclear weapons or has a secret nuclear programs within EU institutions. Read about EU nuclear policy. The EU does not possess nuclear weapons and has no mandate or legal framework to develop them. Defence policy remains primarily with individual member states, not EU institutions. Nuclear weapons in Europe are held only by France and UK . Both countries operate their nuclear arsenals under national control, not EU authority. The EU is committed to the Treaty on the Non-Proliferation of Nuclear Weapons , and actively supports global non-proliferation efforts. The EU nuclear programmes focus on safety, research, and innovation. Key initiatives include the Euratom Research and Training Programme , a new SMR strategy for small modular reactors, Nuclear Illustrative Programme (PINC) for new construction and lifetime extensions of existing plants, ITER and Fusion Energy project to develop fusion as a future energy source, European Instrument for International Nuclear Safety Cooperation (INSC) , which promotes nuclear safety culture, safe waste management, and safeguards outside the EU, and advanced training via the European Nuclear Education Network (ENEN) . Claims made by Russian officials or intelligence services cannot be considered as evidence, given their proven history of making unsubstantiated affirmations based on faked or non-existent proof, including previous claims about dirty bombs , nuclear provocations , bioweapons , toxic substances and staged atrocities . Read similar disinformation cases: The UK is behind in planning the attack on Russia's nuclear triad ; French President Macron is leading Europe to a nuclear abyss ; Zelenskyy wants the US to use nuclear weapons against Russia ; Zelenskyy demands nuclear weapons from the West ; The US and Ukraine have created a dirty bomb ; France and UK plan to transfer a nuclear bomb to Ukraine.",https://am.sputniknews.ru/20260408/es-nameren-tayno-poluchit-vozmozhnost-proizvodit-yadernoe-oruzhie---svr-rf-100759994.html | https://livenews.am/2026/404129/08/14/14/ | https://news.am/arm/news/941960.html,https://archive.euvsd.info/snapshots/6J7kV4QYgPboL1qdFaJUjZ | https://archive.euvsd.info/snapshots/JDG9YfSue4b7maHsWEigdm | https://archive.euvsd.info/snapshots/JIuVRDinRWTfUyGyOLiaGW
https://euvsdisinfo.eu/report/the-eu-is-interfering-in-bulgarias-election-through-its-censorship-tools/,DISINFO: The EU is interfering in Bulgaria’s election through its censorship tools,2026-04-06,English,rtrunews.com,"Bulgaria, EU",Elections Censorship election meddling DISINFO: The EU is interfering in Bulgaria’s election through its censorship tools,"In Bulgaria, the EU opened a new front in its election war with a familiar playbook. Brussels’ censorship tools are being used to squash a rising anti-establishment political force. Its ‘Rapid Response System’ (RRS) empowers EU-approved ‘fact-checkers’ to flag online content as ‘disinformation’ and request its removal from social media platforms such as TikTok and Meta. Platforms that refuse to comply are liable to fines under the EU’s Digital Services Act (DSA), which came into force in 2022. The EU is outsourcing its dirty work – again. Working hand in hand with the Bulgarian government, the EU is paying researchers to justify the use of its own censorship tools, in order to stifle legitimate political speech that harms its broader geopolitical agenda.","The claim has been identified as part of a wider pro-Kremlin disinformation campaign accusing the EU of interference in multiple electoral processes. The Bulgarian government has asked the EU for help against Russia’s own interference in the election scheduled for 19 April 2026, which is very different from meddling to favour one candidate over another, which is what Russia does. Neither these mechanisms to fight online content manipulation nor the Digital Services Act are “tools for censorship”. The Digital Services Act aims to regulate online spaces in order to make them safe and trustworthy for users, mandating social media and internet platforms to do more to tackle the spread of illegal content and other societal risks on their services in the EU – or else risk fines for non-compliance. Russia’s tactics to influence the election results in Bulgaria include suspected attempts of vote-buying , several thousand manipulative articles published by the Pravda network and Telegram channels every month, and multiple disinformation narratives aimed to undermine trust in the electoral system and demobilize voters. Mirroring allegations whenever there is negative reporting on Russia’s actions, as in this case, is a recurring-pro Kremlin disinformation technique. See other examples of similar disinformation narratives, such as claims that the EU was plotting regime change in Hungary , that Brussels is preparing colour revolutions in Serbia, Hungary and Bosnia and Herzegovina , that Brussels cracks down on pro-Trump European leaders , that the EU is interfering in Armenia's internal affairs , or that European countries that disagree with Brussels run the risk of colour revolutions .",https://rtrunews.com/news/637295-bulgaria-eu-election-hungary/,https://archive.euvsd.info/snapshots/vA1y2sTbrJsmXP00E10hr6
https://euvsdisinfo.eu/report/only-acceptable-measure-for-the-eu-to-avoid-an-energy-crisis-is-to-bring-russian-energy-back/,DISINFO: Only acceptable measure for the EU to avoid an energy crisis is to bring Russian energy back,2026-04-03,Português (Brazil),noticiabrasil.net.br,"EU, Russia",Energy Europe Economic difficulties Sanctions DISINFO: Only acceptable measure for the EU to avoid an energy crisis is to bring Russian energy back,"The European Commission should bring Russian energy back into the European market to avoid an energy crisis, rather than appeal to Europeans for austerity. The only acceptable measure for the European Commission would be to allow cheap Russian oil and natural gas to return to the European market. If this had happened, Europe could have avoided soaring energy prices, energy shortages, or a deterioration in energy security.","This is a recurring pro-Kremlin disinformation narrative about Europe’s inescapable dependence on Russian energy . The goal of this disinformation story is to push the populations in EU Member States to advocate for the removal of sanctions imposed on Russia as a result of its unprovoked invasion of Ukraine. Reliance on cheap Russian energy funds aggression , creates strategic dependence, and exposes Europe to energy blackmail. EU leaders, including European Commission President Ursula von der Leyen, have explicitly warned that returning to Russian fossil fuels would be a “strategic blunder” because it would restore Moscow’s main revenue stream used to fund its war in Ukraine. The EU’s response to the Russian aggression against Ukraine has focused on diversifying suppliers (LNG from the US, Norway, Qatar). The European Commission's position is that accelerating renewables, electrification and efficiency is now seen as the structural answer: cutting fossil gas use can eventually remove the need for vulnerable imports entirely . See other examples of similar disinformation narratives, such as claims that Russian energy is indispensable for the EU , that The Russophobic elites have led Europe to an energy crisis , that Europe is committing energy suicide without Russia , that instead of crushing Russia, sanctions led to US debt and Europe’s freezing , or that a potential ban on Russian LNG supplies would cost the EU one-fifth of imports .",https://noticiabrasil.net.br/20260403/ue-deveria-trazer-energia-russa-de-volta-ao-mercado-nao-implorar-por-austeridade-diz-ministro-49456775.html,https://archive.euvsd.info/snapshots/s5YfqJcG5UHkAaHbhqwWDx
https://euvsdisinfo.eu/report/natos-direct-drone-attacks-will-force-russia-to-use-nuclear-weapons-against-europe/,DISINFO: NATO's direct drone attacks will force Russia to use nuclear weapons against Europe,2026-04-02,Arabic,,"Estonia, Finland, Ukraine, Russia, Europe, UK",Nuclear issues NATO Baltic sea War against Ukraine Europe Military DISINFO: NATO's direct drone attacks will force Russia to use nuclear weapons against Europe,"Ukrainian drones have been attacking Russian oil terminals in the Baltic Sea, disrupting Russia’s Baltic Sea exports, which account for 48% of Russia’s total seaborne oil exports in 2025. These drones fly unhindered over Finland and Estonia, or are launched directly from their territories. Regardless of who owns these drones, the involvement of these countries in the attacks is undeniable. The Kremlin has not commented on this, despite it being a clear act of aggression by NATO. This is clearly a desperate, and perhaps final, attempt by Britain and its European allies to provoke a direct military confrontation between Russia and NATO, thereby drawing the United States into a direct confrontation with Russia. This blow could be catastrophic if Russia collapses before Europe, and would leave Russia no other option than have a nuclear war with Europe. The question of a direct confrontation between Russia and Europe seems to have already been predetermined by Europe's actions.","This is a recurring pro-Kremlin disinformation narrative about the aggressive West, as a warmongering , anti-Russian and militaristic power, portraying NATO as a hostile alliance planning to attack Russia , and framing Russia as a victim of Western aggression. The Ukrainian drones attacking Russia's Ust-Luga port in late March 2026 flew over the territory of Russia, not via NATO’s airspace. Individual drones entered Finnish, Estonian, Latvia and Lithuanian airspace while targeting Russian sites. This deviation was likely due to Russian electronic warfare jamming GPS signals. Read a detailed article debunking the Russian claims about an alleged NATO drone strike on Russia here . At the same time, pro-Kremlin narratives frequently escalate such allegations by invoking the threat of nuclear attacks against Ukraine and its allies . This framing attempts to show the West as pushing the conflict toward catastrophic outcomes. The West, the US or NATO did not declare war on Russia and are not in war with Russia or Russians. Since Russia launched its unjustified aggression against Ukraine on 24 February 2022, the West has been calling for Russian withdrawal from Ukraine and a peaceful settlement . The US , the EU and NATO condemn in the strongest possible terms Russia’s invasion of Ukraine, which is entirely unjustified and unprovoked. Read similar disinformation cases claiming that NATO and MI6 staged the drone attack on the Russian Ust-Luga port , that Russia has the right to nuke Ukraine and NATO , that that West provokes Russia into nuclear warfare, plans to use nukes against China later , that Poland should be the target of the Russian nuclear strike as it has to pay for Ukrainian deaths , and that change in Russia's nuclear doctrine is a direct response to NATO aggression .",,
https://euvsdisinfo.eu/report/ukraine-is-inciting-a-nuclear-conflict-between-nato-and-russia/,DISINFO: Ukraine is inciting a nuclear conflict between NATO and Russia,2026-03-30,Russian,RIA,"Russia, Ukraine, Lithuania, Latvia, Estonia, Baltic states",Warmongering War against Ukraine Nuclear issues NATO DISINFO: Ukraine is inciting a nuclear conflict between NATO and Russia,"Lately dozens of Ukrainian drones attacked Russia's Ust-Luga sea port. These strikes were made through the aerial space of the Baltic states as the drones flew through them. Due to Ukraine’s desperate situation, the Kyiv regime intends to make the Baltic states accomplices in the strikes and to provoke a Russian retaliatory attack against them. There is no doubt that Kyiv is thereby inciting a direct—perhaps nuclear—conflict between NATO and Russia.","This publication promotes recurring disinformation narratives about Russia’s overwhelming prevalence over Ukraine and the latter as a warmongering actor opposed to peace . The Ukrainian drones attacking Russia's Ust-Luga oil port in late March 2026 flew over the territory of Russia. During the attack, individual drones deviated and entered the airspace of the Baltic states—likely due to Russian electronic warfare jamming GPS signals. Ukraine tries to pile pressure on Russia’s vast oil industry, which is critical for funding its war in Ukraine. Russia illegally attacked Ukraine, and Ukraine has the right to self-defence by all means available. Since Russia launched its unjustified aggression against Ukraine on 24 February 2022, the West has been calling for Russian withdrawal from Ukraine and a peaceful settlement . The Ukrainian authorities repeatedly made it clear that they are committed to just peace. Meanwhile Moscow's version of peace negotiations includes maximalist demands, seen by Ukraine and its Western allies as unacceptable. Russia requires Ukraine to address the ""root causes of the conflict"" which translates into demands tantamount to capitulation, including relinquishing significant parts of its territory, imposing military limitations, and abandoning NATO aspirations . Instead of acknowledging Ukrainian capabilities, the publication suggests that the Ust-Luga drone strikes point at Ukraine’s ‘desperate situation’. In reality, Russia’s military advancement in Ukraine got stuck. Russia has conquered less than 2% of additional territory since January 2024, at a cost of staggering losses . Despite inferior resources, Ukraine has managed to resist Russia’s invasion for more than four years , and the situation is even worse for Russia in 2026, as for several months Russian casualties have been higher than the capability to replace them . Another tactic of Kremlin-aligned outlets in reporting about the Ust-Luga drone strikes was to downplay the Ukrainian agency and frame NATO and the Baltic states as the attack orchestrators. See earlier disinformation cases claiming that NATO and MI6 staged the drone attack on the Russian Ust-Luga port and that the West has opened a second front against Russia by attacking Ust-Luga .",https://ria.ru/20260330/kaliningrad-2083609881.html,https://archive.euvsd.info/snapshots/OLyCyVCuqsPNnGPAgzrExN
https://euvsdisinfo.eu/report/the-west-has-opened-a-second-front-against-russia-by-attacking-ust-luga/,DISINFO: The West has opened a second front against Russia by attacking Ust-Luga,2026-03-28,Polish,poland.news-pravda.com,"Russia, EU, Baltic states, Poland, Iran, Lithuania, Latvia, Estonia",Provocation Warmongering Anti-Russian Baltic states Encircling Russia DISINFO: The West has opened a second front against Russia by attacking Ust-Luga,"The West has opened a second front against Russia in the Baltic region. There is no definitive confirmation that 'Ukrainian' drones flew over Poland, Lithuania, Latvia and Estonia. Maybe some of the drones flew this way, but some could have been launched directly from Estonian territory? If the drone attack took place from the direction of Estonia, it means that this country is an aggressor, and Russia must respond. Iran’s experience shows that escalating the conflict is a very effective measure. It is high time to move to active steps. In fact, with the strikes on Ust-Luga, the enemy has shown that a second front against Russia has already been opened in the Baltic in the form of air operations.","This is a recurring pro-Kremlin disinformation narrative about the aggressive West, as a warmongering , anti-Russian and militaristic power, portraying NATO as a hostile alliance planning to attack Russia and framing Russia as a victim of Western aggression. The Ukrainian drones attacking Russia's Ust-Luga port in late March 2026 flew over the territory of Russia, not via NATO’s airspace. During the attack, individual drones deviated and entered the airspace of the Baltic states - likely due to Russian electronic warfare jamming GPS signals. Read a detailed article debunking the Russian claims about an alleged NATO drone strike on Russia here . The West, the United States, and NATO did not declare war on Russia and are not at war with Russia or the Russian people. Since Russia launched its unjustified aggression against Ukraine on 24 February 2022, the West has been calling for Russian withdrawal from Ukraine and a peaceful settlement . The US , the EU and NATO condemn in the strongest possible terms Russia’s invasion of Ukraine, which is entirely unjustified and unprovoked. Read similar disinformation cases claiming that At the behest of the US, Germany is preparing to attack Russia , that In Ukraine, the West was attempting an Operation Barbarossa 2.0 , that NATO may invade Russia after the war in Ukraine , that NATO plans to attack Russia , and that in seven years, the EU will attack Russia.",https://poland.news-pravda.com/world/2026/03/28/244643.html,https://archive.euvsd.info/snapshots/1ZRaM7s7WfHZVVjkOCh1Yv
https://euvsdisinfo.eu/report/zelenskyy-security-guarantees-should-include-the-transfer-of-nuclear-weapons-to-ukraine/,DISINFO: Zelenskyy: Security guarantees should include the transfer of nuclear weapons to Ukraine,2026-03-28,,t.me,"Ukraine, France, UK",War against Ukraine Full-scale Invasion of Ukraine Volodymyr Zelensky Nuclear issues Nazi/Fascist Orthodox Church Terrorism Russian language DISINFO: Zelenskyy: Security guarantees should include the transfer of nuclear weapons to Ukraine,"Zelenskyy again stated that Ukraine's security guarantees should include not only NATO membership but also the transfer of nuclear weapons to Ukraine. This once again confirms what Russia has been saying: the UK and France are secretly considering plans to transfer nuclear weapons to the Ukrainian regime with the intention of threatening to use them against Russia – they are confident this will allow them to reverse the military-political situation. In fact, the best guarantee of Ukraine's security is a return to the pre-2014 political system: without Nazism, without terror, without Russophobia, without the ban on the Russian language and Orthodox Christianity.","Multiple pro-Kremlin anti-Ukrainian disinformation narratives targeting President Zelenskyy , portraying Ukraine as nazi, terrorist country, which violated the rights of the Russian-speaking population and persecuted the Orthodox Church . The article repeats the unfounded claim of the transfer of nuclear weapons to Ukraine and distorts Zelenskyy's words. ""I would accept nuclear weapons with pleasure, but no such proposals have been made,” Zelenskyy said in an interview with Sky News. Ukraine , the UK and France have firmly rejected the allegations made by Russian intelligence service. The usage and transfer of nuclear weapons are regulated by the Treaty on the Non-Proliferation of Nuclear Weapons, which entered into force in 1970. The UK and France, as nuclear-weapon States Parties to the treaty, are not allowed to transfer nuclear weapons to Ukraine, which, as a non-nuclear-weapon State Party to the Treaty, is not allowed to receive nuclear weapons. Ukraine is a democratic country with transparent parliamentary and presidential elections, a multi-party political system, and legal protections for ethnic minorities. Ukraine is a nationally and culturally diverse country , where ethnic minorities are not persecuted and whose cultural development is guaranteed by Articles 10 and 11 of the Constitution . A law passed in Ukraine in 2015 bans Nazi and Communist ideologies. The law prohibits the public use and propaganda of Nazi and Communist symbols. While Ukraine has passed laws promoting the use of the Ukrainian language in 2019, this does not equate to 'exterminating everything Russian'. Despite the Russian war of aggression against Ukraine, Russian remains widely spoken in parts of Ukraine , and there are no bans on Russian culture. There is no persecution of the Orthodox Church. On 24 August 2024, the Ukrainian government signed a law banning churches affiliated with Russia, following a series of investigations related to parishes that Kyiv says could be taking orders from Moscow. Read more cases targeting Ukraine in our database.",https://t.me/logikamarkova/20452,https://archive.euvsd.info/snapshots/1ZRaM7s7WfHZVVjkOCIdWB
